,word_cnt_division,a value,cos_sim,recall,avg of cos_sim recall
0,<300,10.0,0.7255142857142857,0.4893,0.6074071428571428
1,<300,0.1,0.7503000000000001,0.5172571428571429,0.6337785714285715
2,<500,100.0,0.7929117647058822,0.46501764705882354,0.6289647058823529
3,<500,0.1,0.7744588235294119,0.48940000000000006,0.631929411764706
4,<800,100.0,0.8983666666666666,0.5018111111111111,0.7000888888888889
5,<800,50.0,0.9042555555555555,0.5002444444444445,0.70225
6,>=800,400.0,0.88788,0.4776599999999999,0.68277
7,>=800,30.0,0.8558600000000001,0.46442000000000005,0.6601400000000001
