,word_cnt_division,a value,cos_sim,recall,avg of cos_sim recall
0,<300,30.0,0.7123571428571429,0.5779428571428572,0.6451500000000001
1,<300,10.0,0.7748,0.5667428571428571,0.6707714285714286
2,<500,50.0,0.7907588235294117,0.5109882352941176,0.6508735294117647
3,<500,30.0,0.7907235294117647,0.5048529411764706,0.6477882352941177
4,<800,30.0,0.8748777777777778,0.47633333333333333,0.6756055555555556
5,<800,0.1,0.8823222222222223,0.48454444444444444,0.6834333333333333
6,>=800,400.0,0.8902599999999999,0.47122,0.68074
7,>=800,200.0,0.8214,0.44867999999999997,0.63504
